videoid,conspiracy,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,var_r,var_g,var_b,var_h,var_s,var_v,var_bright,var_bright_sd,var_contrast,var_colorful,median_r,median_g,median_b,median_h,median_s,median_v,median_bright,median_bright_sd,median_contrast,median_colorful
ShsfdhChUVM,0,0.004226387,0.011760382,0.003858875,0.008269019,0.008085263,0.006615215,0.002940096,0.012862918,0.011944138,0.021683205,788.6660564,809.8624657,853.8608364,314.0920652,823.9311199,858.4230426,772.3754222,166.7139847,867.0115349,274.8114776,110.652276,99.817662,100.038572,66.403676,66.290894,120.08996,102.521756,65.26898172,222,43.41092663
q5LprlTwSFM,0,0.011494253,0.022988506,0.011494253,0.017241379,0.005747126,0.011494253,0.005747126,0.005747126,0.040229885,0.028735632,477.6213512,184.8573938,58.92312749,402.7538418,269.5432539,158.7277629,208.7716181,0.949048389,8.077389277,37.68883026,107.6227,74.937542,41.843578,18.085836,160.188546,107.907446,80.955362,40.27845894,187,47.40552756
pVZq1Ajtjfs,0,0.006195787,0.008674102,0.003717472,0.006195787,0.004956629,0.003717472,0.004956629,0.016109046,0.012391574,0.017348203,64.10463646,21.82779666,7.376889963,5.390259535,89.38916284,21.71880931,26.1572318,2.384015305,10.60250116,29.33651242,115.871584,112.657072,169.927884,100.042604,125.691284,190.352648,120.27998,71.42333882,232,127.984948
3dGe2FXOQOw,1,0.010479868,0.010479868,0.00827358,0.014340871,0.006618864,0.009376724,0.004412576,0.012134584,0.020408163,0.022062879,346.9261898,328.023541,306.8583068,148.5985714,82.68031631,307.0330277,328.9731617,179.9924477,851.291335,56.40395334,199.799596,195.907756,194.418024,27.569884,9.146088,199.96034,196.905496,33.38587333,135,12.99390028
wmKwMwYQ-RI,0,0.012121212,0.018181818,0.012121212,0.018181818,0.006060606,0.012121212,0.006060606,0.006060606,0.042424242,0.03030303,44.30226546,37.68727414,35.75047769,21.33375492,55.24614546,44.79097764,39.26066814,0.355108123,35.75043834,2.015304995,111.462284,77.80812,44.332668,21.404664,154.229632,111.720092,84.04938,45.97580948,212,58.75043186
ysCwsWZdRLA,0,0.008237232,0.013179572,0.004393191,0.014827018,0.005491488,0.011532125,0.003844042,0.012630423,0.020867655,0.025809995,3433.350981,3638.176098,3719.8675,700.3623853,492.4231447,3680.437152,3499.104915,385.2292072,5218.551068,242.5192241,194.573536,220.879934,217.954682,44.27518,33.795978,226.968172,211.786072,47.38995489,186,42.1505158
f279f-Y-O-w,0,0.010516252,0.012428298,0.005736138,0.019120459,0.006692161,0.007648184,0.006692161,0.017208413,0.02581262,0.021032505,4430.302004,3958.62411,3881.429029,756.0096107,1613.570747,4472.996855,3999.048873,349.0754883,2019.196219,515.3781185,121.060112,116.798116,114.140164,39.718588,37.463492,129.869472,117.030332,57.03145104,208,31.55791311
PSLU30p_ZW8,0,0.004748338,0.008072175,0.00617284,0.011396011,0.004748338,0.007122507,0.003323837,0.011870845,0.018993352,0.022317189,722.797684,744.4843809,741.8961559,374.2885398,111.9068165,683.7811319,733.257532,207.5531809,108.0765227,133.9807994,136.678284,133.09066,132.883204,22.3465,18.157182,137.008196,134.145514,104.1289821,244,18.33499783
he8Aw70o5jQ,0,0.006075013,0.008452192,0.003961965,0.012414157,0.004754358,0.006867406,0.003697834,0.00792393,0.013734812,0.017696778,417.8543455,245.0115884,323.8685971,83.15487791,347.6715125,333.1263502,285.7800296,32.29394185,635.2147128,121.7919195,144.019564,130.946074,188.119868,131.87556,90.646328,193.60442,141.149408,58.41894214,167,64.67136539
3ajBR3R8doM,1,0.006988564,0.016518424,0.00635324,0.01270648,0.01270648,0.007623888,0.007623888,0.016518424,0.017789072,0.025412961,29.58378974,22.45683176,16.95084665,20.29804577,39.18950302,29.75438288,20.64031044,5.748193765,48.05166612,10.43736511,143.555642,127.917176,135.183554,54.86553,46.82069,151.46278,133.42932,69.59346523,226,47.62555897
WOkcOEkBgdY,0,0.009943182,0.012784091,0.005681818,0.009232955,0.008522727,0.0078125,0.005681818,0.017755682,0.026278409,0.033380682,185.7913552,185.4643328,192.8409463,18.85669564,9.853364611,182.4748198,186.4744041,4.646172537,0,7.517951187,164.685064,164.58158,165.39006,28.247168,16.163088,166.980484,164.719704,103.7340034,255,10.65875323
Si-FgfuxMDo,1,0.01164295,0.007761966,0.007761966,0.018111255,0.009055627,0.015523933,0.006468305,0.018111255,0.027166882,0.028460543,1.401160402,0.321789916,0.944934616,0.901980873,2.451733169,0.476224013,0.344110093,0.512660492,42.64321457,0.324413599,161.009232,166.1098,176.119096,99.852192,36.239464,178.870864,165.785572,64.44533608,217,25.72269391
vKMZmbmQHEY,1,0.011292346,0.012547051,0.010037641,0.011292346,0.008782936,0.013801757,0.005018821,0.011292346,0.021329987,0.026348808,264.7901545,635.6888356,49.30789851,101.1331291,137.9023226,616.0469554,399.8088747,24.3028319,160.9736782,201.1485769,125.465852,163.296068,77.925648,42.615576,156.221436,184.099752,142.166428,67.58807298,224,108.5306818
jKeSLGAoVJU,1,0.008897677,0.016806723,0.005931784,0.011863569,0.013346515,0.008403361,0.005437469,0.023727138,0.017795353,0.041028176,3038.44565,2925.11671,3461.070647,1188.365832,2350.835292,3238.840963,2853.778599,646.4254377,2937.225432,668.0077958,108.70418,103.76954,100.63718,35.106972,55.934316,123.448892,103.917692,66.96686479,216,40.88181144
C3tggYIcN6Q,1,0.016961652,0.017699115,0.01179941,0.025073746,0.010324484,0.016224189,0.007374631,0.025073746,0.041297935,0.036135693,5.081469551,4.939205485,4.893155126,2.51682893,0.097324716,5.141924677,4.99273281,8.394653497,62.69866955,0.422445134,240.87553,241.709852,242.20016,14.388542,2.01611,242.435502,241.516238,24.75335938,96,7.796908133
H_YXnhC204o,1,0.010526316,0.005263158,0,0.021052632,0.005263158,0.005263158,0,0.031578947,0.015789474,0.021052632,1129.553719,1364.635031,1661.016906,22.57238566,657.087537,1129.311276,1319.77205,146.6452023,1454.690482,24.41254073,154.7897,134.801052,122.303996,18.733644,78.8309,154.877176,139.33376,80.61707907,254,30.67433563
aw5QcZMioII,1,0.006116208,0.009174312,0.00764526,0.009174312,0.004587156,0.004587156,0.004587156,0.013761468,0.016819572,0.019877676,2156.87486,1724.572702,1667.930324,315.8675979,1147.05442,2146.976534,1788.270005,481.9703121,984.1634973,266.4388201,90.524912,82.261304,82.200296,17.830048,21.625708,95.111792,82.574928,90.19011862,254,22.88280029
yzaklrXs7Aw,1,0.010729614,0.009298999,0.006437768,0.011444921,0.004291845,0.007868383,0.005007153,0.010729614,0.017167382,0.019313305,124.7197027,144.909517,143.5620486,90.52737953,284.630684,108.9919933,136.9919008,474.7317514,3889.448488,72.75484763,130.400928,128.7546,130.167516,80.579716,14.154678,134.391256,129.201476,27.4705844,99,8.110759237
